AUC    AUPR    Acc    F1    pre    recall
0.6665    0.6322    0.5010    0.6669    0.5005    0.9992 
0.9318    0.9297    0.7736    0.8121    0.6941    0.9783 
0.9340    0.9333    0.8530    0.8455    0.8906    0.8047 
0.9383    0.9364    0.8505    0.8418    0.8943    0.7951 
0.9399    0.9375    0.8505    0.8409    0.8989    0.7899 
0.9413    0.9392    0.8495    0.8370    0.9131    0.7726 
0.9414    0.9396    0.8505    0.8383    0.9129    0.7750 
0.9417    0.9399    0.8556    0.8472    0.8990    0.8011 
0.9422    0.9405    0.8634    0.8580    0.8934    0.8252 
0.9421    0.9406    0.8658    0.8621    0.8866    0.8389 
0.9423    0.9408    0.8660    0.8625    0.8857    0.8405 
0.9422    0.9407    0.8668    0.8637    0.8846    0.8437 
0.9421    0.9405    0.8680    0.8646    0.8878    0.8425 
0.9422    0.9406    0.8714    0.8687    0.8873    0.8509 
0.9422    0.9407    0.8706    0.8679    0.8868    0.8497 
0.9423    0.9407    0.8718    0.8691    0.8881    0.8509 
0.9422    0.9408    0.8714    0.8692    0.8847    0.8542 
0.9424    0.9410    0.8720    0.8706    0.8808    0.8606 
0.9426    0.9413    0.8728    0.8728    0.8733    0.8722 
0.9426    0.9412    0.8724    0.8734    0.8667    0.8803 
0.9430    0.9417    0.8720    0.8740    0.8609    0.8875 
0.9430    0.9417    0.8712    0.8741    0.8548    0.8943 
0.9433    0.9421    0.8694    0.8732    0.8487    0.8992 
0.9435    0.9423    0.8664    0.8714    0.8400    0.9052 
0.9436    0.9425    0.8646    0.8710    0.8318    0.9140 
0.9439    0.9428    0.8652    0.8723    0.8289    0.9204 
0.9439    0.9429    0.8642    0.8715    0.8269    0.9213 
0.9442    0.9432    0.8644    0.8717    0.8272    0.9213 
0.9443    0.9433    0.8638    0.8711    0.8268    0.9204 
0.9447    0.9439    0.8650    0.8722    0.8281    0.9213 
0.9446    0.9437    0.8662    0.8730    0.8309    0.9196 
0.9450    0.9442    0.8658    0.8726    0.8305    0.9192 
0.9450    0.9443    0.8664    0.8732    0.8309    0.9200 
0.9454    0.9447    0.8670    0.8734    0.8333    0.9176 
0.9455    0.9448    0.8676    0.8740    0.8339    0.9180 
0.9455    0.9447    0.8666    0.8729    0.8336    0.9160 
0.9455    0.9448    0.8684    0.8742    0.8376    0.9140 
0.9456    0.9450    0.8688    0.8744    0.8390    0.9128 
0.9460    0.9453    0.8690    0.8744    0.8398    0.9120 
0.9460    0.9454    0.8692    0.8745    0.8404    0.9116 
0.9459    0.9453    0.8682    0.8734    0.8406    0.9088 
0.9460    0.9454    0.8686    0.8736    0.8417    0.9080 
0.9459    0.9452    0.8708    0.8754    0.8454    0.9076 
0.9459    0.9452    0.8706    0.8749    0.8472    0.9044 
0.9460    0.9453    0.8702    0.8742    0.8484    0.9016 
0.9463    0.9455    0.8714    0.8753    0.8498    0.9024 
0.9461    0.9454    0.8716    0.8754    0.8506    0.9016 
0.9462    0.9455    0.8724    0.8760    0.8519    0.9016 
0.9462    0.9455    0.8730    0.8768    0.8516    0.9036 
0.9464    0.9456    0.8720    0.8759    0.8502    0.9032 
0.9463    0.9456    0.8718    0.8759    0.8491    0.9044 
0.9466    0.9460    0.8714    0.8758    0.8472    0.9064 
0.9466    0.9460    0.8724    0.8768    0.8480    0.9076 
0.9467    0.9461    0.8722    0.8766    0.8474    0.9080 
0.9468    0.9463    0.8718    0.8764    0.8465    0.9084 
0.9470    0.9465    0.8716    0.8760    0.8470    0.9072 
0.9466    0.9460    0.8712    0.8756    0.8471    0.9060 
0.9470    0.9464    0.8724    0.8765    0.8493    0.9056 
0.9467    0.9459    0.8726    0.8763    0.8517    0.9024 
0.9467    0.9459    0.8738    0.8773    0.8537    0.9024 
0.9467    0.9459    0.8746    0.8777    0.8566    0.9000 
0.9468    0.9460    0.8757    0.8781    0.8613    0.8955 
0.9471    0.9464    0.8744    0.8766    0.8618    0.8919 
0.9472    0.9463    0.8730    0.8746    0.8643    0.8851 
0.9468    0.9458    0.8718    0.8730    0.8651    0.8811 
0.9469    0.9460    0.8716    0.8726    0.8662    0.8791 
0.9474    0.9467    0.8726    0.8726    0.8729    0.8722 
0.9471    0.9461    0.8726    0.8724    0.8741    0.8706 
0.9470    0.9461    0.8730    0.8726    0.8758    0.8694 
0.9469    0.9460    0.8740    0.8737    0.8763    0.8710 
0.9469    0.9457    0.8732    0.8727    0.8764    0.8690 
0.9475    0.9468    0.8726    0.8713    0.8806    0.8622 
0.9472    0.9464    0.8730    0.8715    0.8819    0.8614 
0.9465    0.9455    0.8730    0.8712    0.8838    0.8590 
0.9468    0.9459    0.8724    0.8716    0.8774    0.8658 
0.9469    0.9458    0.8726    0.8720    0.8763    0.8678 
0.9473    0.9465    0.8730    0.8723    0.8773    0.8674 
0.9474    0.9465    0.8728    0.8724    0.8754    0.8694 
0.9470    0.9459    0.8730    0.8728    0.8742    0.8714 
0.9470    0.9460    0.8728    0.8726    0.8745    0.8706 
0.9471    0.9461    0.8718    0.8717    0.8724    0.8710 
0.9474    0.9466    0.8732    0.8735    0.8716    0.8755 
0.9467    0.9457    0.8751    0.8769    0.8642    0.8899 
0.9465    0.9453    0.8732    0.8761    0.8570    0.8959 
0.9471    0.9462    0.8732    0.8763    0.8557    0.8980 
0.9472    0.9461    0.8734    0.8769    0.8538    0.9012 
0.9472    0.9463    0.8724    0.8758    0.8535    0.8992 
0.9469    0.9459    0.8736    0.8764    0.8580    0.8955 
0.9471    0.9461    0.8738    0.8759    0.8616    0.8907 
0.9473    0.9464    0.8740    0.8754    0.8662    0.8847 
0.9473    0.9464    0.8738    0.8751    0.8662    0.8843 
0.9470    0.9462    0.8734    0.8756    0.8610    0.8907 
0.9470    0.9460    0.8742    0.8760    0.8637    0.8887 
0.9471    0.9462    0.8742    0.8761    0.8634    0.8891 
0.9469    0.9459    0.8734    0.8758    0.8599    0.8923 
0.9475    0.9466    0.8732    0.8752    0.8618    0.8891 
0.9474    0.9465    0.8751    0.8766    0.8659    0.8875 
0.9475    0.9467    0.8744    0.8756    0.8678    0.8835 
0.9475    0.9466    0.8734    0.8743    0.8687    0.8799 
0.9474    0.9463    0.8736    0.8744    0.8693    0.8795 
